model,label,tuning_method,candidate,trial,hyperparameters,status,valid_auprc,valid_auroc,valid_episode_auprc,valid_episode_auroc,seconds,best
lightgbm,LightGBM,optuna,20,19,"{""colsample_bytree"": 0.8948047808221138, ""learning_rate"": 0.023405063462963033, ""min_child_samples"": 86, ""n_estimators"": 150, ""num_leaves"": 63, ""subsample"": 0.7079199814411843}",ok,0.34656377533767807,0.8159856699158009,0.5763359550248627,0.8365011427209672,3.743,False
lightgbm,LightGBM,optuna,21,20,"{""colsample_bytree"": 0.7428282950158338, ""learning_rate"": 0.053623074370753435, ""min_child_samples"": 49, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8645821854049507}",ok,0.3541109048415909,0.8190660327778232,0.5841280436833398,0.8406867453816121,3.692,False
lightgbm,LightGBM,optuna,22,21,"{""colsample_bytree"": 0.8023557983838006, ""learning_rate"": 0.024274976466415528, ""min_child_samples"": 50, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.9194070446078509}",ok,0.3515874617849258,0.8182406054021775,0.585824230914659,0.840561292781174,5.391,False
lightgbm,LightGBM,optuna,23,22,"{""colsample_bytree"": 0.7394290956892049, ""learning_rate"": 0.027757584202403367, ""min_child_samples"": 37, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.9034523810664297}",ok,0.3497047143291194,0.8194036159101661,0.5844338518308984,0.8408095734506604,5.019,False
lightgbm,LightGBM,optuna,24,23,"{""colsample_bytree"": 0.7655544444814468, ""learning_rate"": 0.018149295840231606, ""min_child_samples"": 55, ""n_estimators"": 150, ""num_leaves"": 31, ""subsample"": 0.9473896676565942}",ok,0.3388841364552464,0.8115989654417602,0.5587223368290969,0.8285288661709452,3.197,False
lightgbm,LightGBM,optuna,25,24,"{""colsample_bytree"": 0.7291782563393849, ""learning_rate"": 0.029040203627376478, ""min_child_samples"": 67, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.8508979672593406}",ok,0.35473114668030303,0.8194396378239173,0.5876395045187373,0.8409728193031134,5.229,False
lightgbm,LightGBM,optuna,26,25,"{""colsample_bytree"": 0.7883501365490357, ""learning_rate"": 0.04902017529766031, ""min_child_samples"": 38, ""n_estimators"": 250, ""num_leaves"": 31, ""subsample"": 0.8212506262708488}",ok,0.34954688404764744,0.8174121518226322,0.5836057709659878,0.8425926800769723,3.986,False
lightgbm,LightGBM,optuna,27,26,"{""colsample_bytree"": 0.8225960169893582, ""learning_rate"": 0.03174815278114624, ""min_child_samples"": 22, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.7843996550559514}",ok,0.3536509253972574,0.8189984576447459,0.585759062451927,0.8391351224238912,4.092,False
lightgbm,LightGBM,optuna,28,27,"{""colsample_bytree"": 0.7576913355991771, ""learning_rate"": 0.020578022614109282, ""min_child_samples"": 50, ""n_estimators"": 450, ""num_leaves"": 127, ""subsample"": 0.8941176587898625}",ok,0.354178261249354,0.8138410294742172,0.5908166432887212,0.8441973185687696,10.805,False
lightgbm,LightGBM,optuna,29,28,"{""colsample_bytree"": 0.7288901625130384, ""learning_rate"": 0.09904903642985712, ""min_child_samples"": 31, ""n_estimators"": 150, ""num_leaves"": 63, ""subsample"": 0.8535486946273879}",ok,0.3429280484917708,0.8094102533840525,0.5733840910703079,0.8374674951787359,3.137,False
lightgbm,LightGBM,optuna,30,29,"{""colsample_bytree"": 0.8950621863390266, ""learning_rate"": 0.01430348798457192, ""min_child_samples"": 67, ""n_estimators"": 250, ""num_leaves"": 15, ""subsample"": 0.9451817864675639}",ok,0.3360376398272539,0.8092189468608683,0.5474710420630816,0.8206767931585816,3.919,False
