model,label,real_policy,policy_label,source,train_n,train_episode_n,train_positives,train_episode_positives,train_prevalence,train_episode_prevalence,train_auroc,train_episode_auroc,train_auprc,train_episode_auprc,train_auprc_lift,train_episode_auprc_lift,train_sensitivity,train_episode_sensitivity,train_ppv,train_episode_ppv,train_f1,train_episode_f1,valid_n,valid_episode_n,valid_positives,valid_episode_positives,valid_prevalence,valid_episode_prevalence,valid_auroc,valid_episode_auroc,valid_auprc,valid_episode_auprc,valid_auprc_lift,valid_episode_auprc_lift,valid_sensitivity,valid_episode_sensitivity,valid_ppv,valid_episode_ppv,valid_f1,valid_episode_f1,test_n,test_episode_n,test_positives,test_episode_positives,test_prevalence,test_episode_prevalence,test_auroc,test_episode_auroc,test_auprc,test_episode_auprc,test_auprc_lift,test_episode_auprc_lift,test_sensitivity,test_episode_sensitivity,test_ppv,test_episode_ppv,test_f1,test_episode_f1,real_n,real_episode_n,real_positives,real_episode_positives,real_prevalence,real_episode_prevalence,real_auroc,real_episode_auroc,real_auprc,real_episode_auprc,real_auprc_lift,real_episode_auprc_lift,real_sensitivity,real_episode_sensitivity,real_ppv,real_episode_ppv,real_f1,real_episode_f1,delta_auprc_real_test,delta_auroc_real_test
transformer,Transformer,real_readmitted_2026,Readmitted,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\transformer\real_readmitted_2026\transformer_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.878402720311941,0.8846849897038128,0.5407485301911079,0.702893019473053,5.678586623853949,3.559257299586587,0.8443697478991596,0.9224877450980392,0.2469342114963996,0.3636034295374954,0.3821186134509707,0.5216110870506713,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.8233502838377168,0.8581115251662446,0.3718653311243611,0.612153704790848,5.015148990059249,3.674285600025245,0.7795823665893271,0.910913140311804,0.1742437337942955,0.3009565857247976,0.2848262220966375,0.4524336283185841,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.8182501678730643,0.8630366258681744,0.3511393048341003,0.6252036950520302,4.159864597256237,3.299375492671716,0.7722832722832723,0.9159212880143112,0.1867434307646885,0.3386243386243386,0.3007608178792201,0.4944471269917914,6128.0,728.0,632.0,139.0,0.1031331592689295,0.1909340659340659,0.8288496351777127,0.8494949371572351,0.5159366825410437,0.6602804145835296,5.002626567423285,3.458159293646112,0.7531645569620253,0.8345323741007195,0.2657733109994416,0.3790849673202614,0.3929013619479983,0.5213483146067416,0.16479737770694347,0.010599467304648447
transformer,Transformer,real_new_2026,New,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\transformer\real_new_2026\transformer_24h_comparable_metrics.csv,165617.0,20916.0,15476.0,4218.0,0.0934445135463147,0.2016637980493402,0.9023073947174416,0.901893025748861,0.5995796218249352,0.7402005445305452,6.41642402609074,3.67046813404478,0.8526104936676143,0.9089615931721194,0.2892561983471074,0.4212723876497088,0.4319643821714435,0.5757188978151513,26647.0,3584.0,2152.0,647.0,0.0807595601756295,0.1805245535714285,0.8367531762418702,0.8675440299878068,0.4253374637540505,0.644489780386212,5.266713474281684,3.570094857657162,0.7448884758364313,0.8871715610510046,0.2169441061036676,0.35718730553827,0.3360234776228907,0.5093167701863354,24942.0,3429.0,2320.0,662.0,0.0930157966482238,0.1930592009332166,0.8423312369100571,0.8755700820088287,0.4570291133492693,0.6590832644037421,4.913456959119602,3.413892014562585,0.7737068965517241,0.8957703927492447,0.2345485430550111,0.3798846893017296,0.3599719241953273,0.5335132703553757,7479.0,1268.0,594.0,241.0,0.0794223826714801,0.1900630914826498,0.8235413931129254,0.854347553806559,0.3330196754966905,0.6067939893347412,4.193020459662876,3.192592441811003,0.7643097643097643,0.8464730290456431,0.2048736462093862,0.3709090909090909,0.3231316725978648,0.515802781289507,-0.12400943785257884,-0.018789843797131667
transformer,Transformer,real_all_2026,All,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\transformer\real_all_2026\transformer_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.878402720311941,0.8846849897038128,0.5407485301911079,0.702893019473053,5.678586623853949,3.559257299586587,0.8443697478991596,0.9224877450980392,0.2469342114963996,0.3636034295374954,0.3821186134509707,0.5216110870506713,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.8233502838377168,0.8581115251662446,0.3718653311243611,0.612153704790848,5.015148990059249,3.674285600025245,0.7795823665893271,0.910913140311804,0.1742437337942955,0.3009565857247976,0.2848262220966375,0.4524336283185841,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.8182501678730643,0.8630366258681744,0.3511393048341003,0.6252036950520302,4.159864597256237,3.299375492671716,0.7722832722832723,0.9159212880143112,0.1867434307646885,0.3386243386243386,0.3007608178792201,0.4944471269917914,13607.0,1996.0,1226.0,380.0,0.0901006834717424,0.1903807615230461,0.8173066977725829,0.845225377800938,0.4258453602443,0.6222325191473363,4.726327746202439,3.268358179521272,0.7618270799347472,0.8552631578947368,0.2144661308840413,0.3483386923901393,0.3347070417487905,0.495049504950495,0.0747060554101997,-0.0009434701004813473
lstm,LSTM,real_readmitted_2026,Readmitted,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\lstm\real_readmitted_2026\lstm_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.9100062319516808,0.8983158541141879,0.630185275503697,0.7427321933871596,6.617792700722268,3.760991940043803,0.8866386554621849,0.9154411764705882,0.2737817219367897,0.4001607071112896,0.4183750346960625,0.5568912496505452,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.8041029226386837,0.8521400083692464,0.3382225334356088,0.6035931552533592,4.5614265568833305,3.622903236988425,0.7525135344160866,0.8752783964365256,0.1788931788931789,0.3195121951219512,0.2890671420083184,0.4681357951161405,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.7982052374746695,0.8612753999232363,0.3057331110278698,0.6117429524064824,3.621948119350314,3.2283393731648,0.7527472527472527,0.9051878354203936,0.1895756457564575,0.3609129814550642,0.3028739867354458,0.5160632330443651,6128.0,728.0,632.0,139.0,0.1031331592689295,0.1909340659340659,0.8175436566064157,0.8382088895946062,0.4846098917681468,0.6041474399275343,4.698875659422791,3.1641678868147123,0.7231012658227848,0.7985611510791367,0.2768019382192611,0.3894736842105263,0.4003504161191414,0.5235849056603774,0.17887678074027696,0.019338419131746165
lstm,LSTM,real_new_2026,New,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\lstm\real_new_2026\lstm_24h_comparable_metrics.csv,165617.0,20916.0,15476.0,4218.0,0.0934445135463147,0.2016637980493402,0.9181190594944312,0.9020620039446752,0.6523508997979984,0.7595744529287438,6.981157855508212,3.766538467865719,0.8714138020160248,0.9125177809388336,0.3054102407319338,0.4058414171235766,0.4522999010614928,0.5618157933148445,26647.0,3584.0,2152.0,647.0,0.0807595601756295,0.1805245535714285,0.8146612691612202,0.8592213926774475,0.3973514164097438,0.635632958186513,4.920178063694443,3.521033264513852,0.7091078066914498,0.8825347758887172,0.2182182182182182,0.3448067632850241,0.3337342810278841,0.49587494572297,24942.0,3429.0,2320.0,662.0,0.0930157966482238,0.1930592009332166,0.8045086946182995,0.8644195672563019,0.404100648472332,0.6438530439283133,4.344430333705563,3.335003153519919,0.7155172413793104,0.8972809667673716,0.2310690423162583,0.3637477036129822,0.3493265993265993,0.5176470588235295,7479.0,1268.0,594.0,241.0,0.0794223826714801,0.1900630914826498,0.796614902352012,0.8423802155090563,0.2814746214418843,0.6080876726081216,3.544021369972816,3.199399040942316,0.7138047138047138,0.8547717842323651,0.1929026387625113,0.3557858376511226,0.3037249283667622,0.5024390243902439,-0.12262602703044773,-0.007893792266287503
lstm,LSTM,real_all_2026,All,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\lstm\real_all_2026\lstm_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.9100062319516808,0.8983158541141879,0.630185275503697,0.7427321933871596,6.617792700722268,3.760991940043803,0.8866386554621849,0.9154411764705882,0.2737817219367897,0.4001607071112896,0.4183750346960625,0.5568912496505452,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.8041029226386837,0.8521400083692464,0.3382225334356088,0.6035931552533592,4.5614265568833305,3.622903236988425,0.7525135344160866,0.8752783964365256,0.1788931788931789,0.3195121951219512,0.2890671420083184,0.4681357951161405,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.7982052374746695,0.8612753999232363,0.3057331110278698,0.6117429524064824,3.621948119350314,3.2283393731648,0.7527472527472527,0.9051878354203936,0.1895756457564575,0.3609129814550642,0.3028739867354458,0.5160632330443651,13607.0,1996.0,1226.0,380.0,0.0901006834717424,0.1903807615230461,0.799547582051275,0.8492785956227201,0.3944170220115461,0.6124869185294883,4.3775142075947056,3.2171681299601547,0.7169657422512234,0.8368421052631579,0.2177359425315828,0.3799283154121863,0.334030020900627,0.5225965488907148,0.08868391098367628,0.0013423445766054254
rnn,RNN,real_readmitted_2026,Readmitted,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\rnn\real_readmitted_2026\rnn_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.9135037332995216,0.9056590363640932,0.6340091217760895,0.7563721475686509,6.657948227888302,3.830060923717728,0.8795798319327731,0.9246323529411764,0.2886890807292385,0.3983632523759239,0.4347031584193367,0.5568265682656827,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.825236731026848,0.8567173118456568,0.3440536311018107,0.5975286256214511,4.640067454875001,3.586502552449467,0.7633410672853829,0.8864142538975501,0.1905037637521714,0.3161239078633836,0.3049119555143652,0.4660421545667447,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.8068502621747401,0.8601149660062444,0.3278918456274074,0.624040802953669,3.8844574263735288,3.293238584460328,0.7466422466422467,0.9051878354203936,0.1937272295263741,0.3535988819007687,0.3076342598415293,0.5085427135678392,6128.0,728.0,632.0,139.0,0.1031331592689295,0.1909340659340659,0.8090109838225269,0.8520843766413015,0.4656285621912491,0.6655463836462348,4.514828843525277,3.485739333053661,0.6582278481012658,0.8129496402877698,0.2965074839629366,0.397887323943662,0.4088452088452088,0.5342789598108747,0.13773671656384168,0.0021607216477868008
rnn,RNN,real_new_2026,New,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\rnn\real_new_2026\rnn_24h_comparable_metrics.csv,165617.0,20916.0,15476.0,4218.0,0.0934445135463147,0.2016637980493402,0.8935400075613252,0.8934856239828156,0.5754696784334599,0.7295434715301422,6.158410553961897,3.617622392253308,0.832514861721375,0.9115694642010432,0.285265138935016,0.3987348335580213,0.4249270295674544,0.5547940264050213,26647.0,3584.0,2152.0,647.0,0.0807595601756295,0.1805245535714285,0.8342898956694751,0.8652290580290164,0.4068559246017361,0.6413622518750135,5.037867018058765,3.552770186584309,0.7537174721189591,0.9010819165378672,0.2156628107964366,0.3409356725146198,0.3353664840277059,0.494696648281714,24942.0,3429.0,2320.0,662.0,0.0930157966482238,0.1930592009332166,0.8256271168743274,0.8681313102086853,0.4344759904562009,0.6512939080533471,4.670991445671795,3.373545031291431,0.7625,0.9154078549848944,0.2258105693132499,0.3476764199655766,0.3484341146346267,0.503950103950104,7479.0,1268.0,594.0,241.0,0.0794223826714801,0.1900630914826498,0.7967491423555331,0.8537657520797391,0.3038304203060059,0.6123026510736799,3.82550120112562,3.221575774113801,0.7138047138047138,0.8921161825726142,0.1880266075388026,0.3530377668308703,0.2976482976482976,0.5058823529411764,-0.130645570150195,-0.02887797451879437
rnn,RNN,real_all_2026,All,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\rnn\real_all_2026\rnn_24h_comparable_metrics.csv,124966.0,16528.0,11900.0,3264.0,0.095225901445193,0.1974830590513068,0.9135037332995216,0.9056590363640932,0.6340091217760895,0.7563721475686509,6.657948227888302,3.830060923717728,0.8795798319327731,0.9246323529411764,0.2886890807292385,0.3983632523759239,0.4347031584193367,0.5568265682656827,17438.0,2695.0,1293.0,449.0,0.074148411515082,0.1666048237476809,0.825236731026848,0.8567173118456568,0.3440536311018107,0.5975286256214511,4.640067454875001,3.586502552449467,0.7633410672853829,0.8864142538975501,0.1905037637521714,0.3161239078633836,0.3049119555143652,0.4660421545667447,19405.0,2950.0,1638.0,559.0,0.084411234217985,0.1894915254237288,0.8068502621747401,0.8601149660062444,0.3278918456274074,0.624040802953669,3.8844574263735288,3.293238584460328,0.7466422466422467,0.9051878354203936,0.1937272295263741,0.3535988819007687,0.3076342598415293,0.5085427135678392,13607.0,1996.0,1226.0,380.0,0.0901006834717424,0.1903807615230461,0.801611175256303,0.8437955966649296,0.4012437826402762,0.6211508833577298,4.453282341261207,3.2626767452158654,0.6916802610114192,0.8368421052631579,0.22752884357392,0.3659378596087457,0.3424187361195235,0.5092073658927142,0.0733519370128688,-0.005239086918437108
