level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,124966,11900,0.09522590144519309,0.878402720311941,0.5407485301911079,5.678586623853949,0.3779577091486767,0.7399692716418866,0.8443697478991596,0.7289813029557958,0.24693421149639969,0.9780243251260754,0.3821186134509707,10048,82423,30643,1852
next_day,valid,17438,1293,0.074148411515082,0.8233502838377168,0.3718653311243611,5.015148990059249,0.3779577091486767,0.7097144167909164,0.7795823665893271,0.7041189222669557,0.17424373379429559,0.9755427786836008,0.2848262220966375,1008,11368,4777,285
next_day,test,19405,1638,0.08441123421798506,0.8182501678730643,0.35113930483410033,4.159864597256237,0.3779577091486767,0.696882246843597,0.7722832722832723,0.6899307705296336,0.18674343076468852,0.9704694798511598,0.30076081787922015,1265,12258,5509,373
next_day,real,6128,632,0.1031331592689295,0.8288496351777127,0.5159366825410437,5.002626567423285,0.3779577091486767,0.7599543080939948,0.7531645569620253,0.7607350800582242,0.2657733109994416,0.9640304357851049,0.39290136194799835,476,4181,1315,156
episode,train,16528,3264,0.19748305905130686,0.8846849897038128,0.702893019473053,3.559257299586587,0.3779577091486767,0.6658397870280736,0.9224877450980392,0.6026839565741857,0.36360342953749547,0.9693221777616103,0.5216110870506713,3011,7994,5270,253
episode,valid,2695,449,0.1666048237476809,0.8581115251662446,0.612153704790848,3.6742856000252453,0.3779577091486767,0.6326530612244898,0.910913140311804,0.5770258236865539,0.30095658572479767,0.9700598802395209,0.4524336283185841,409,1296,950,40
episode,test,2950,559,0.18949152542372882,0.8630366258681744,0.6252036950520302,3.299375492671716,0.3779577091486767,0.6450847457627119,0.9159212880143113,0.5817649519029695,0.3386243386243386,0.9673157162726008,0.4944471269917914,512,1391,1000,47
episode,real,728,139,0.19093406593406592,0.8494949371572351,0.6602804145835296,3.458159293646112,0.3779577091486767,0.7074175824175825,0.8345323741007195,0.6774193548387096,0.3790849673202614,0.9454976303317536,0.5213483146067416,116,399,190,23
