level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,124966,11900,0.09522590144519309,0.9100062319516807,0.630185275503697,6.617792700722268,0.41699553068238077,0.7652481474961189,0.8866386554621849,0.7524720075000442,0.2737817219367897,0.9843916323413708,0.4183750346960625,10551,85079,27987,1349
next_day,valid,17438,1293,0.074148411515082,0.8041029226386837,0.3382225334356088,4.5614265568833305,0.41699553068238077,0.7255419199449478,0.7525135344160866,0.7233818519665531,0.1788931788931789,0.9733311109259105,0.28906714200831846,973,11679,4466,320
next_day,test,19405,1638,0.08441123421798506,0.7982052374746695,0.3057331110278698,3.6219481193503134,0.41699553068238077,0.7074980675083742,0.7527472527472527,0.7033263916249226,0.18957564575645758,0.9686070847221145,0.30287398673544585,1233,12496,5271,405
next_day,real,6128,632,0.1031331592689295,0.8175436566064157,0.48460989176814684,4.698875659422791,0.41699553068238077,0.7765992167101827,0.7231012658227848,0.7827510917030568,0.2768019382192611,0.9609113245476882,0.40035041611914146,457,4302,1194,175
episode,train,16528,3264,0.19748305905130686,0.8983158541141879,0.7427321933871596,3.7609919400438034,0.41699553068238077,0.7123063891577929,0.9154411764705882,0.6623190591073582,0.40016070711128965,0.9695397858955965,0.5568912496505452,2988,8785,4479,276
episode,valid,2695,449,0.1666048237476809,0.8521400083692464,0.6035931552533592,3.6229032369884253,0.41699553068238077,0.6686456400742115,0.8752783964365256,0.6273374888691006,0.3195121951219512,0.9617747440273038,0.46813579511614056,393,1409,837,56
episode,test,2950,559,0.18949152542372882,0.8612753999232363,0.6117429524064824,3.2283393731647996,0.41699553068238077,0.6783050847457627,0.9051878354203936,0.6252613969050607,0.3609129814550642,0.9657622739018088,0.5160632330443651,506,1495,896,53
episode,real,728,139,0.19093406593406592,0.8382088895946062,0.6041474399275343,3.1641678868147123,0.41699553068238077,0.7225274725274725,0.7985611510791367,0.7045840407470289,0.3894736842105263,0.9367945823927766,0.5235849056603774,111,415,174,28
