rank,branch,variable,mean_abs_shap,mean_shap,n_encoded_features,shap_importance_pct,positive_shap_pct,mean_direction
1,static,codi_servei_admissor,0.05098939581258477,-0.0017053548414598647,20,13.533638731584489,56.12279662881087,decreases_mean_predicted_risk
2,static,grup_diagnostic_ingres,0.04251433902311561,-0.001839831483693222,19,11.284183624488886,33.89172529308509,decreases_mean_predicted_risk
3,temporal,creatinina,0.020436943156991853,0.0011419803071660646,2,5.424386797624906,51.84252601977892,increases_mean_predicted_risk
4,static,diagnostic_ingres_prefix3,0.018713307038517257,0.001643484652551309,20,4.966898173561069,25.76773357206996,increases_mean_predicted_risk
5,temporal,plaquetes,0.014479041495648142,0.0003595161698311047,2,3.8430366482859744,51.87236325973555,increases_mean_predicted_risk
6,static,COMORB_DIABETES_MELLITUS,0.013050383106100669,-0.0024025852096423287,2,3.463841205648258,66.40625,decreases_mean_predicted_risk
7,static,cirurgia,0.012803164685291978,-0.0018572033435566026,2,3.398224330968761,35.9375,decreases_mean_predicted_risk
8,static,COMORB_NEOPLASIA_SOLIDA,0.011386736800336724,0.0037773953361314085,2,3.0222751168461746,71.875,increases_mean_predicted_risk
9,static,font_admissio,0.010757527298416393,-0.0014938553608286045,2,2.8552699199858456,20.553526524062473,decreases_mean_predicted_risk
10,static,edat,0.009846630104265078,0.0005990507243362843,2,2.613498991917401,36.71875,increases_mean_predicted_risk
11,static,sexe,0.007634142926539112,-0.0014676551386858647,2,2.0262592004975564,42.96875,decreases_mean_predicted_risk
12,temporal,bilirubina_total,0.007370498890227508,0.0002497433916534092,2,1.956282628225693,40.792410714285715,increases_mean_predicted_risk
13,static,COMORB_MALNUTRICIO_SEVERA,0.007089801269685764,0.0022853558551530406,2,1.881779682491832,41.40625,increases_mean_predicted_risk
14,static,urgencia_cirurgia,0.0063330424648045365,-0.0015775019751627995,2,1.6809202663525966,35.15625,decreases_mean_predicted_risk
15,static,diagnostic_ingres_codi,0.005639028832538314,-0.003527105760981613,20,1.4967147149001199,12.352284770353274,decreases_mean_predicted_risk
16,temporal,O2SAT,0.005504992494797434,-0.0007838314166596484,2,1.4611387026140124,34.984244369681036,decreases_mean_predicted_risk
17,temporal,pct_neutrofils,0.005298176949774485,-0.00039646416463570103,2,1.4062455856077989,54.28323491459942,decreases_mean_predicted_risk
18,temporal,TAM,0.005153320638630252,-0.00022190195130494255,2,1.3677977289157575,33.51001441330073,decreases_mean_predicted_risk
19,static,centre_origen,0.004893194877605635,-0.0006161826197423344,2,1.298754979567926,36.71875,decreases_mean_predicted_risk
20,static,hospitalitzacio_recent_90d,0.004852930967089507,0.0014167443661460436,2,1.2880681061472445,29.6875,increases_mean_predicted_risk
21,temporal,SBP,0.004667496531550453,-0.0001341318302758345,2,1.2388499771816637,63.34936876102846,decreases_mean_predicted_risk
22,static,COMORB_IRC_DIALISI,0.0044026091023949285,-0.0008985997989816221,2,1.1685433827692575,34.375,decreases_mean_predicted_risk
23,temporal,leucocits,0.004341857178581763,0.000789634367414857,2,1.1524185674810323,50.38631798104652,increases_mean_predicted_risk
24,static,COMORB_CIRROSI_HEPATICA,0.00425402355893203,0.0030930090636096196,2,1.129105710800085,22.65625,increases_mean_predicted_risk
25,static,temps_cirurgia,0.004054199386791246,3.449692282180738e-05,2,1.0760682485494761,44.40843397724889,increases_mean_predicted_risk
26,temporal,pcr,0.004018836327354127,0.0006053356195462264,2,1.0666821622223381,41.44216630982376,increases_mean_predicted_risk
27,temporal,DBP,0.00393917233501745,0.00018599359349997748,2,1.0455376933574179,59.07764582833624,increases_mean_predicted_risk
28,temporal,urocultiu_resultat,0.0037540085008776394,-0.00023644255123744004,20,0.9963913875919211,43.17207026491171,decreases_mean_predicted_risk
29,temporal,hematocrit,0.0035943142068093382,-0.0004906565627377784,2,0.9540052237832811,52.87152000680112,decreases_mean_predicted_risk
30,temporal,hemoglobina,0.0035115599659420477,-1.7447168597227377e-05,2,0.9320405391354977,37.03053026218604,decreases_mean_predicted_risk
31,temporal,urea,0.0034952999326183613,0.00034351732999662453,2,0.9277247904732635,53.44713857707795,increases_mean_predicted_risk
32,temporal,HR,0.003416079424020973,0.00038728054409064596,2,0.9066980313520107,52.182690590569955,increases_mean_predicted_risk
33,temporal,dies_des_ingres,0.003381091756169786,-0.0005122909111524605,2,0.8974115817047338,40.904017857142854,decreases_mean_predicted_risk
34,static,COMORB_ENOLISME_SEVER,0.003317034089360643,0.0003844871262520273,2,0.8804093539519354,55.46875,increases_mean_predicted_risk
35,static,reingres_30d,0.003295429774510112,0.00024190322566749803,2,0.8746751225971421,43.75,increases_mean_predicted_risk
36,temporal,TEMP,0.003171669563851539,-0.0003705947446656565,2,0.8418266066713164,27.00680619894342,decreases_mean_predicted_risk
37,temporal,porta_o2,0.003062569101295422,-0.0001714871670887175,2,0.8128690906593533,33.461666631085066,decreases_mean_predicted_risk
38,temporal,glucosa,0.002904342761243037,-7.186991580113294e-05,2,0.7708725521641608,41.16498505044056,decreases_mean_predicted_risk
39,temporal,dispositius_invasius_previs,0.0028587585820407384,0.0008734766174536498,2,0.7587735695547719,46.763392857142854,increases_mean_predicted_risk
40,temporal,got_ast,0.0027306205409537037,-5.2601186220879666e-05,2,0.7247630870179923,52.7656717723016,decreases_mean_predicted_risk
41,static,COMORB_NEUTROPENIA_GREU,0.0026028243722844148,0.0005213718727661919,2,0.6908433444815663,3.125,increases_mean_predicted_risk
42,temporal,vasopressor_qualsevol,0.0025816907921301113,0.0001538134414250129,2,0.6852340558372256,63.61607142857143,increases_mean_predicted_risk
43,temporal,temps_protrombina_pct,0.0025566386038103988,0.0003676246017512788,2,0.6785846876548529,53.092010426537534,increases_mean_predicted_risk
44,static,COMORB_NEOPLASIA_HEMATOLOGICA,0.0025370288181611883,-0.0014360572996252221,2,0.6733798455430599,20.3125,decreases_mean_predicted_risk
45,temporal,RESP,0.0024589790159460652,-5.571819865020998e-05,2,0.6526638160742346,47.11056247878969,decreases_mean_predicted_risk
46,temporal,antibiotics_previs_90d,0.002430966743693291,-0.00020210718230057558,2,0.6452287804814758,43.080357142857146,decreases_mean_predicted_risk
47,temporal,dia_relatiu,0.0023071334924093237,-0.0004348677434083764,2,0.612360878065164,45.36830357142857,decreases_mean_predicted_risk
48,temporal,antibiotic,0.0022765675779708354,0.0001976765085057754,2,0.6042480530959982,51.78571428571429,increases_mean_predicted_risk
49,static,COMORB_TRASPLANT_ORGAN_SOLID,0.001997725455463346,0.0005909522466968669,2,0.5302375948619905,73.4375,increases_mean_predicted_risk
50,temporal,cultiu_positiu_previ_90d,0.001995708031999587,-0.0003406274624120818,2,0.5297021290089043,41.127232142857146,decreases_mean_predicted_risk
51,temporal,FIO2,0.0019844901699822477,-0.000288773545104619,2,0.526724676747233,42.745535714285715,decreases_mean_predicted_risk
52,temporal,GLASGOW,0.001888178869228672,9.811525259855142e-05,2,0.5011616684119553,42.1875,increases_mean_predicted_risk
53,temporal,granulocits_immadurs,0.0017812019113019161,0.0001623422626450878,2,0.4727677743853214,68.1846395084587,increases_mean_predicted_risk
54,static,COMORB_MALABSORTIVES,0.0017750324172417634,-0.0014229819102650008,2,0.47113026324332513,26.5625,decreases_mean_predicted_risk
55,temporal,vasopressor_noradrenalina,0.0016936970024594403,-0.0006436007469534457,2,0.4495421643414775,43.69419642857143,decreases_mean_predicted_risk
56,temporal,hemocultiu_positiu,0.0011747696402601376,-0.0004059786715697999,2,0.3118081250178324,26.50669642857143,decreases_mean_predicted_risk
57,temporal,atb_duracio,0.0011722107180705686,-2.9537992182142125e-05,2,0.3111289342193544,59.70982142857143,decreases_mean_predicted_risk
58,static,COMORB_TRASPLANT_MOLL_OS,0.0011458783539705453,0.0005351217550716978,2,0.3041397809454436,25.0,increases_mean_predicted_risk
59,temporal,colonitzacio_previa_blee,0.001030811148251238,7.722181155158407e-05,2,0.2735985680669481,40.234375,increases_mean_predicted_risk
60,temporal,vasopressor_multiple,0.0010188092047008254,-0.00023656466937790213,2,0.27041300437277965,47.20982142857143,decreases_mean_predicted_risk
61,temporal,vasopressor_dobutamina,0.00046770376063103947,0.00010780879036063884,2,0.12413823754745697,46.54017857142857,increases_mean_predicted_risk
62,temporal,colonitzacio_previa_vre,0.000265317012131085,5.941247106244854e-05,2,0.0704206146062883,61.27232142857142,increases_mean_predicted_risk
63,static,COMORB_VIH_SIDA,0.00018631293471715345,0.00018631293471715345,2,0.049451300791073634,0.78125,increases_mean_predicted_risk
64,temporal,colonitzacio_previa_mrsa,0.00016977029274604954,7.3036827340674114e-06,2,0.04506054195710427,53.90625,increases_mean_predicted_risk
65,temporal,ag_pneumococ,0.00016251638794309117,-3.941428028578672e-05,2,0.04313520580765505,53.18080357142857,decreases_mean_predicted_risk
66,temporal,colonitzacio_previa_cre,0.00014019261120871244,6.301895769736516e-05,2,0.03721001440985729,51.50669642857143,increases_mean_predicted_risk
67,temporal,ag_legionella,2.3420260883850746e-05,-1.1562975331785879e-07,2,0.006216220936731826,50.55803571428571,decreases_mean_predicted_risk
68,temporal,vasopressor_dopamina,1.72854063361369e-05,-3.7422744890308814e-06,2,0.004587903836746003,31.69642857142857,decreases_mean_predicted_risk
69,static,COMORB_AGAMMAGLOBULINEMIA,0.0,0.0,2,0.0,,increases_mean_predicted_risk
70,static,COMORB_ESPLENECTOMIA,0.0,0.0,2,0.0,,increases_mean_predicted_risk
71,static,COMORB_HIPOGAMMAGLOBULINEMIA,0.0,0.0,2,0.0,,increases_mean_predicted_risk
72,static,COMORB_ASPLENIA,0.0,0.0,2,0.0,,increases_mean_predicted_risk
73,temporal,vasopressor_adrenalina,0.0,0.0,2,0.0,,increases_mean_predicted_risk
