level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,165617,15476,0.0934445135463147,0.9181190594944311,0.6523508997979984,6.981157855508212,0.4972651672363281,0.8027919839146948,0.8714138020160248,0.7957186910970354,0.3054102407319338,0.9836160052692244,0.4522999010614928,13486,119470,30671,1990
next_day,valid,26647,2152,0.08075956017562953,0.8146612691612202,0.3973514164097438,4.920178063694443,0.4972651672363281,0.7713438661012497,0.7091078066914498,0.7768115942028986,0.2182182182182182,0.9681489773074183,0.3337342810278841,1526,19028,5467,626
next_day,test,24942,2320,0.09301579664822388,0.8045086946182995,0.404100648472332,4.344430333705563,0.4972651672363281,0.7520647903135274,0.7155172413793104,0.7558129254707806,0.23106904231625836,0.9628336524383376,0.3493265993265993,1660,17098,5524,660
next_day,real,7479,594,0.07942238267148015,0.796614902352012,0.2814746214418843,3.544021369972816,0.4972651672363281,0.740072202166065,0.7138047138047138,0.7423384168482208,0.19290263876251137,0.967809127059269,0.3037249283667622,424,5111,1774,170
episode,train,20916,4218,0.20166379804934023,0.9020620039446751,0.7595744529287438,3.766538467865719,0.4972651672363281,0.7129470262000382,0.9125177809388336,0.662534435261708,0.4058414171235766,0.9677221833449965,0.5618157933148445,3849,11063,5635,369
episode,valid,3584,647,0.18052455357142858,0.8592213926774475,0.635632958186513,3.5210332645138522,0.4972651672363281,0.6760602678571429,0.8825347758887172,0.630575417092271,0.34480676328502413,0.9605809128630706,0.49587494572297003,571,1852,1085,76
episode,test,3429,662,0.19305920093321668,0.8644195672563019,0.6438530439283133,3.335003153519919,0.4972651672363281,0.6771653543307087,0.8972809667673716,0.6245030719190459,0.36374770361298225,0.9621380846325167,0.5176470588235295,594,1728,1039,68
episode,real,1268,241,0.19006309148264985,0.8423802155090563,0.6080876726081216,3.199399040942316,0.4972651672363281,0.6782334384858044,0.8547717842323651,0.6368062317429406,0.35578583765112265,0.9492017416545718,0.5024390243902439,206,654,373,35
