level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,124966,11900,0.09522590144519309,0.8470923850232785,0.46733452806760095,4.907640893655111,0.47319500959581795,0.6922522926235937,0.8344537815126051,0.677285833053261,0.2139256322978155,0.9749197942659266,0.3405466579786687,9930,76578,36488,1970
next_day,valid,17438,1293,0.074148411515082,0.8057070051306593,0.33510797135267345,4.519422122542862,0.47319500959581795,0.6845395114118592,0.7764887857695282,0.6771755961598018,0.1615186615186615,0.9742470147923721,0.26741243840724466,1004,10933,5212,289
next_day,test,19405,1638,0.08441123421798506,0.7667566387946868,0.2594341202635085,3.073454886271906,0.47319500959581795,0.667869105900541,0.7289377289377289,0.6622389823830698,0.16594857539958305,0.9636363636363636,0.27034982452168005,1194,11766,6001,444
next_day,real,13607,1226,0.09010068347174248,0.7845679119705732,0.3428859449535147,3.8055865032483482,0.47319500959581795,0.6698757992209892,0.763458401305057,0.6606089976577013,0.18217205138186066,0.9657574684142165,0.2941546197360151,936,8179,4202,290
episode,train,16528,3264,0.19748305905130686,0.8418858717906644,0.6073673721830392,3.075541644436664,0.47319500959581795,0.5831921587608906,0.9273897058823529,0.4984921592279855,0.31273891930984604,0.9653964082347788,0.4677431816425867,3027,6612,6652,237
episode,valid,2695,449,0.1666048237476809,0.8141843852074562,0.5228953134535825,3.1385364582570263,0.47319500959581795,0.5680890538033395,0.8819599109131403,0.5053428317008014,0.26277372262773724,0.9553872053872053,0.4049079754601227,396,1135,1111,53
episode,test,2950,559,0.18949152542372882,0.8130208765877407,0.5340315511783796,2.818234482962826,0.47319500959581795,0.5827118644067797,0.8926654740608229,0.5102467586783772,0.29880239520958085,0.953125,0.4477344100493495,499,1220,1171,60
episode,real,1996,380,0.1903807615230461,0.7958490750390829,0.5103048288803679,2.6804432590663536,0.47319500959581795,0.5751503006012024,0.8789473684210526,0.5037128712871287,0.29401408450704225,0.9465116279069767,0.44063324538258575,334,814,802,46
