level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,165617,15476,0.0934445135463147,0.8935400075613252,0.5754696784334599,6.158410553961897,0.47065640091896055,0.7894358670909387,0.832514861721375,0.7849954376219687,0.28526513893501604,0.9784810546939859,0.4249270295674544,12884,117860,32281,2592
next_day,valid,26647,2152,0.08075956017562953,0.8342898956694751,0.40685592460173614,5.037867018058765,0.47065640091896055,0.7587345667429729,0.7537174721189591,0.7591753419065115,0.21566281079643665,0.9722890306389208,0.33536648402770597,1622,18596,5899,530
next_day,test,24942,2320,0.09301579664822388,0.8256271168743274,0.43447599045620094,4.670991445671795,0.47065640091896055,0.7347446074893753,0.7625,0.7318981522411812,0.22581056931324994,0.96779284545242,0.34843411463462676,1769,16557,6065,551
next_day,real,7479,594,0.07942238267148015,0.7967491423555331,0.30383042030600593,3.8255012011256198,0.47065640091896055,0.7324508624147613,0.7138047138047138,0.7340595497458242,0.18802660753880265,0.9674578866768759,0.29764829764829764,424,5054,1831,170
episode,train,20916,4218,0.20166379804934023,0.8934856239828156,0.7295434715301422,3.617622392253308,0.47065640091896055,0.7049627079747561,0.9115694642010431,0.652772787160139,0.39873483355802136,0.966912090836512,0.5547940264050213,3845,10900,5798,373
episode,valid,3584,647,0.18052455357142858,0.8652290580290164,0.6413622518750135,3.5527701865843095,0.47065640091896055,0.6676897321428571,0.9010819165378671,0.6162751106571331,0.34093567251461987,0.9658484525080042,0.49469664828171406,583,1810,1127,64
episode,test,3429,662,0.19305920093321668,0.8681313102086853,0.6512939080533471,3.373545031291431,0.47065640091896055,0.6520851560221639,0.9154078549848943,0.5890856523310445,0.3476764199655766,0.966785290628707,0.503950103950104,606,1630,1137,56
episode,real,1268,241,0.19006309148264985,0.8537657520797391,0.6123026510736799,3.221575774113801,0.47065640091896055,0.668769716088328,0.8921161825726142,0.6163583252190847,0.3530377668308703,0.960546282245827,0.5058823529411764,215,633,394,26
