threshold,sensitivity,specificity,ppv,npv,alert_rate,alerts_per_100_patient_days,true_positives,false_positives,true_negatives,false_negatives
0.049036557911554944,1.0,0.011065342056376706,0.09101707498144024,1.0,0.9899316528257515,98.99316528257515,1226,12244,137,0
0.054632561438864,1.0,0.022049915192633874,0.09194540272986351,1.0,0.9799367972367165,97.99367972367165,1226,12108,273,0
0.06052171618775741,0.99836867862969,0.032872950488651964,0.09274132444309743,0.9951100244498777,0.9699419416476813,96.99419416476813,1224,11974,407,2
0.06474825535531162,0.99836867862969,0.043857523624909134,0.09370693615066605,0.9963302752293578,0.9599470860586463,95.99470860586463,1224,11838,543,2
0.0684871633064538,0.9975530179445351,0.054761327841046765,0.09461550363608232,0.9955947136563876,0.9499522304696112,94.99522304696112,1223,11703,678,3
0.07225607730252602,0.9975530179445351,0.06574590097730393,0.09562157935887412,0.996328029375765,0.9399573748805762,93.99573748805761,1223,11567,814,3
0.07601794344207109,0.9967373572593801,0.07664970519344157,0.0965702544649913,0.9958027282266527,0.9299625192915412,92.99625192915411,1222,11432,949,4
0.080143202374395,0.9967373572593801,0.08763427832969874,0.09761942802364595,0.9963269054178145,0.919967663702506,91.99676637025061,1222,11296,1085,4
0.08401515929417294,0.9959216965742251,0.09853808254583636,0.09861088677111937,0.9959183673469387,0.909972808113471,90.99728081134711,1221,11161,1220,5
0.08801396909684171,0.9959216965742251,0.10952265568209353,0.09970602645761882,0.9963262307127112,0.8999779525244359,89.9977952524436,1221,11025,1356,5
0.09177574828669237,0.9959216965742251,0.1205072288183507,0.10082576383154418,0.9966599866399466,0.8899830969354009,88.9983096935401,1221,10889,1492,5
0.09563487383778321,0.9959216965742251,0.13149180195460786,0.10197093703023218,0.9969381506429884,0.8799882413463659,87.99882413463659,1221,10753,1628,5
0.0989988681441109,0.9951060358890701,0.1423956061707455,0.10305794897786788,0.996608253250424,0.8699933857573308,86.99933857573308,1220,10618,1763,6
0.10271726643329016,0.9918433931484503,0.15305710362652453,0.10391386087848231,0.994750656167979,0.8599985301682957,85.99985301682958,1216,10486,1895,10
0.10613925331057854,0.9910277324632952,0.16396090784266215,0.10504928237938786,0.994610485056345,0.8500036745792606,85.00036745792606,1215,10351,2030,11
0.10985757587880256,0.9885807504078303,0.1747031742185607,0.10603674540682415,0.9935691318327974,0.8400088189902256,84.00088189902256,1212,10218,2163,14
0.11334175032375064,0.9877650897226754,0.18568774735481786,0.10723457008766492,0.9935177182368193,0.8299404718159771,82.99404718159771,1211,10082,2299,15
0.11724258460192863,0.9861337683523654,0.19651078265083596,0.10836246302769562,0.993061224489796,0.8199456162269421,81.9945616226942,1209,9948,2433,17
0.12097803409919837,0.9845024469820555,0.20733381794685404,0.10951819254151166,0.9926527455529776,0.8099507606379069,80.99507606379069,1207,9814,2567,19
0.12457525083979241,0.9820554649265906,0.2180760843227526,0.11061093247588424,0.9919177075679647,0.7999559050488719,79.99559050488719,1204,9681,2700,22
0.128057699932687,0.9804241435562806,0.22889911961877069,0.11182435575402364,0.9916025192442267,0.7899610494598368,78.99610494598367,1202,9547,2834,24
0.13154559182818942,0.9796084828711256,0.23980292383490834,0.11316310185621407,0.9916499665998664,0.7799661938708018,77.99661938708017,1201,9412,2969,25
0.1354419663350934,0.9763458401305057,0.25046442129068736,0.11425026247971748,0.9907348242811501,0.7699713382817668,76.99713382817667,1197,9280,3101,29
0.13910545052366138,0.9747145187601958,0.26128745658670544,0.11555942365341842,0.9905082669932639,0.7599764826927317,75.99764826927317,1195,9146,3235,31
0.1433295829712227,0.9730831973898858,0.2721104918827235,0.11690347868691818,0.9902998236331569,0.7499816271036966,74.99816271036967,1193,9012,3369,33
0.1475863115169755,0.9706362153344209,0.2828527582586221,0.11818452676531929,0.9898247597512719,0.7399867715146615,73.99867715146615,1190,8879,3502,36
0.15203298158930503,0.9690048939641109,0.2936757935546402,0.11960132890365449,0.9896570495372891,0.7299919159256265,72.99919159256265,1188,8745,3636,38
0.15645358382058552,0.968189233278956,0.3045795977707778,0.1211595386342758,0.989763779527559,0.7199970603365915,71.99970603365915,1187,8610,3771,39
0.16084460238756368,0.967373572593801,0.31548340198691543,0.12276161888003312,0.9898631525595539,0.7100022047475564,71.00022047475564,1186,8475,3906,40
0.1650876241039028,0.965742251223491,0.3263064372829335,0.12430446194225722,0.9897109260166586,0.7000073491585214,70.00073491585214,1184,8341,4040,42
0.16969836815550957,0.9632952691680261,0.3370487036588321,0.1257854936627969,0.9893314366998578,0.6900124935694862,69.00124935694862,1181,8208,4173,45
0.17411989896586066,0.9575856443719413,0.34746789435425246,0.12687776937209555,0.9880569591180524,0.6800176379804512,68.00176379804512,1174,8079,4302,52
0.17892155353240452,0.9526916802610114,0.3579678539697924,0.12811231764834924,0.9870824053452116,0.6700227823914162,67.00227823914162,1168,7949,4432,58
0.18393039844307194,0.9502446982055465,0.3687908892658105,0.1297327394209354,0.9868165117786903,0.6599544352171677,65.99544352171677,1165,7815,4566,61
0.18897827358430505,0.9477977161500816,0.3795331556417091,0.13138851198552692,0.9865630904891874,0.6499595796281326,64.99595796281325,1162,7682,4699,64
0.19447367103239505,0.9461663947797716,0.39035619093772717,0.133210840606339,0.9865278628291488,0.6399647240390975,63.996472403909756,1160,7548,4833,66
0.19984605694244667,0.9437194127243067,0.4010984573136257,0.13497433504433037,0.9862959285004965,0.6299698684500624,62.99698684500624,1157,7415,4966,69
0.20544119343315528,0.9404567699836868,0.41175995476940475,0.13667614983404458,0.9858828079675112,0.6199750128610274,61.99750128610274,1153,7283,5098,73
0.2106658854290101,0.9380097879282219,0.4225022211453033,0.13855421686746988,0.9856792915017901,0.6099801572719924,60.99801572719924,1150,7150,5231,76
0.2168402145927467,0.9347471451876019,0.4331637186010823,0.14037236648701618,0.9853022230387654,0.5999853016829573,59.99853016829573,1146,7018,5363,80
0.22256656640571437,0.933115823817292,0.4439867538971004,0.1425012456402591,0.98530202545259,0.5899904460939223,58.99904460939223,1144,6884,5497,82
0.22845360004855134,0.9306688417618271,0.45472902027299894,0.14457678661936138,0.9851268591426072,0.5799955905048871,57.99955905048871,1141,6751,5630,85
0.23431443921626807,0.9282218597063622,0.46547128664889753,0.14672511603919547,0.9849598359254829,0.5700007349158521,57.00007349158521,1138,6618,5763,88
0.24080683683165008,0.9249592169657422,0.4761327841046765,0.14881889763779527,0.9846333723066645,0.5600058793268171,56.00058793268171,1134,6486,5895,92
0.24751298007348924,0.9200652528548124,0.4866327437202165,0.15072153928380544,0.983994773803691,0.550011023737782,55.001102373778195,1128,6356,6025,98
0.25432536990463894,0.9176182707993474,0.497375010096115,0.1531028851388133,0.9838632369388081,0.540016168148747,54.001616814874694,1125,6223,6158,101
0.26110258847655093,0.9143556280587276,0.508036507551894,0.15543538546866334,0.983580922595778,0.530021312559712,53.00213125597119,1121,6091,6290,105
0.2669447767538128,0.9061990212071778,0.5182133914869558,0.1570096099491238,0.9823916704945644,0.5200264569706768,52.002645697067685,1111,5965,6416,115
