family,real_policy,policy_label,model,label,real_auprc,real_auprc_lift,real_auroc,real_sensitivity,real_ppv,real_episode_auprc,real_episode_auprc_lift,real_episode_auroc,source,decision_score,recommendation
deep_learning,real_all_2026,All,transformer,Transformer,0.4564717283048395,5.0662404625154585,0.8277100113801169,0.7063621533442088,0.257125890736342,0.6367786410020057,3.3447635985263244,0.8500561816050026,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\optuna_best\real_all_2026\transformer\transformer_24h_comparable_metrics.csv,0.615666388555341,Comparative candidate: review only if it improves on the baseline enough to justify compute cost
classic,real_all_2026,All,lightgbm,LightGBM,0.4217442296086117,4.680810548355938,0.838487358873441,0.7699836867862969,0.2368883312421581,0.5969998548141039,3.135820290023556,0.8554927696717041,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\models_classics_24h\optuna_best\real_all_2026\lightgbm\classic_models_24h_results.csv,0.5709941933121376,Primary candidate: strong performance and interpretability
