family,run,real_policy,policy_label,model,label,source,test_auroc,test_auprc,test_auprc_lift,test_sensitivity,test_ppv,real_auroc,real_auprc,real_auprc_lift,real_sensitivity,real_ppv,test_episode_auroc,test_episode_auprc,test_episode_auprc_lift,test_episode_sensitivity,test_episode_ppv,real_episode_auroc,real_episode_auprc,real_episode_auprc_lift,real_episode_sensitivity,real_episode_ppv
classic,base,real_all_2026,All,lightgbm,LightGBM,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\models_classics_24h\real_all_2026\classic_models_24h_results.csv,0.8181486549338285,0.3395485185134253,4.034392297956528,0.7472345132743363,0.2042019347037484,0.8371796072838545,0.4210583601678064,4.673198292661779,0.7765089722675367,0.2368159203980099,0.8473483215463972,0.5805722525475255,3.0907212273830877,0.930081300813008,0.322435174746336,0.8563363079729025,0.589122684833935,3.0944444182329853,0.9078947368421052,0.3419226957383548
classic,optuna,real_all_2026,All,lightgbm,LightGBM,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\models_classics_24h\optuna_best\real_all_2026\lightgbm\classic_models_24h_results.csv,0.8207167032811824,0.3384491264047566,4.021329719815809,0.7505530973451328,0.2097048369649204,0.838487358873441,0.4217442296086117,4.680810548355938,0.7699836867862969,0.2368883312421581,0.8506498867169943,0.5848131309726389,3.1132978712266985,0.9317073170731708,0.334696261682243,0.8554927696717041,0.5969998548141039,3.135820290023556,0.8947368421052632,0.3451776649746192
deep_learning,base,real_all_2026,All,transformer,Transformer,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\transformer\real_all_2026\transformer_24h_comparable_metrics.csv,0.8182501678730643,0.3511393048341003,4.159864597256237,0.7722832722832723,0.1867434307646885,0.8173066977725829,0.4258453602443,4.726327746202439,0.7618270799347472,0.2144661308840413,0.8630366258681744,0.6252036950520302,3.299375492671716,0.9159212880143112,0.3386243386243386,0.845225377800938,0.6222325191473363,3.268358179521272,0.8552631578947368,0.3483386923901393
deep_learning,optuna,real_all_2026,All,transformer,Transformer,C:\Users\Júlia\PycharmProjects\TFM_Sepsis\outputs\deep_learning_24h\optuna_best\real_all_2026\transformer\transformer_24h_comparable_metrics.csv,0.8300833204305935,0.360054931945175,4.265485930644762,0.7393162393162394,0.2266516938049785,0.8277100113801169,0.4564717283048395,5.0662404625154585,0.7063621533442088,0.257125890736342,0.876280236935018,0.6390688333113302,3.372545721410418,0.9069767441860463,0.3800599700149925,0.8500561816050026,0.6367786410020057,3.3447635985263244,0.8263157894736842,0.3969658659924147
