level,threshold,true_positives,false_positives,true_negatives,false_negatives,total_observations,positive_observations,alerts,prevalence,sensitivity,specificity,ppv,npv,alert_rate
patient_day,0.4638620192607376,944,3041,9340,282,13607,1226,3985,0.09010068347174248,0.7699836867862969,0.7543817139164849,0.2368883312421581,0.9706921637913116,0.29286396707576984
episode,0.4638620192607376,340,645,971,40,1996,380,985,0.1903807615230461,0.8947368421052632,0.6008663366336634,0.34517766497461927,0.960435212660732,0.4934869739478958
