level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,124966,11900,0.09522590144519309,0.901423959710005,0.5875934196214632,6.170520947597963,0.4872538149898702,0.8074276203127251,0.8285714285714286,0.8052022712398068,0.30923631801787677,0.978083604602443,0.45038255110197556,9860,91041,22025,2040
next_day,valid,17438,1293,0.074148411515082,0.8421493201235803,0.39412588311187596,5.315365158317783,0.4872538149898702,0.7798486064915702,0.7517401392111369,0.7820997212759369,0.21648106904231626,0.9752085264133457,0.3361577036140412,972,12627,3518,321
next_day,test,19405,1638,0.08441123421798506,0.8300833204305935,0.360054931945175,4.265485930644762,0.4872538149898702,0.7650605514042772,0.7393162393162394,0.767434006866663,0.2266516938049785,0.9696344758924762,0.34694169889700616,1211,13635,4132,427
next_day,real,13607,1226,0.09010068347174248,0.8277100113801169,0.45647172830483956,5.0662404625154585,0.4872538149898702,0.7896670831189829,0.7063621533442088,0.797916161860916,0.25712589073634207,0.9648403164371521,0.37701349586417066,866,9879,2502,360
episode,train,16528,3264,0.19748305905130686,0.9044670729891021,0.739768396418497,3.7459840857858206,0.4872538149898702,0.7335430784123911,0.9016544117647058,0.6921743063932448,0.4188727583262169,0.9662176383919175,0.5720116618075802,2943,9181,4083,321
episode,valid,2695,449,0.1666048237476809,0.87103229299502,0.6401382531842456,3.842255216774035,0.4872538149898702,0.6949907235621521,0.8864142538975501,0.6567230632235085,0.34046193327630453,0.9665792922673656,0.4919653893695921,398,1475,771,51
episode,test,2950,559,0.18949152542372882,0.876280236935018,0.6390688333113302,3.3725457214104186,0.4872538149898702,0.7020338983050848,0.9069767441860465,0.6541196152237557,0.3800599700149925,0.9678217821782178,0.5356576862123613,507,1564,827,52
episode,real,1996,380,0.1903807615230461,0.8500561816050026,0.6367786410020057,3.3447635985263244,0.4872538149898702,0.7279559118236473,0.8263157894736842,0.7048267326732673,0.3969658659924147,0.9452282157676348,0.5362937660119556,314,1139,477,66
