level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,165617,15476,0.0934445135463147,0.9023073947174415,0.5995796218249352,6.4164240260907395,0.4586081878705458,0.7904623317654589,0.8526104936676143,0.7840563203921647,0.2892561983471074,0.9809916666666667,0.43196438217144356,13195,117719,32422,2281
next_day,valid,26647,2152,0.08075956017562953,0.8367531762418702,0.4253374637540505,5.2667134742816835,0.4586081878705458,0.7622621683491575,0.7448884758364313,0.7637885282710757,0.21694410610366763,0.9714923668085991,0.3360234776228907,1603,18709,5786,549
next_day,test,24942,2320,0.09301579664822388,0.8423312369100571,0.4570291133492693,4.913456959119602,0.4586081878705458,0.7440862801699943,0.7737068965517241,0.7410485368225621,0.2345485430550111,0.9696338712476141,0.35997192419532736,1795,16764,5858,525
next_day,real,7479,594,0.07942238267148015,0.8235413931129254,0.3330196754966905,4.1930204596628755,0.4586081878705458,0.7456879261933413,0.7643097643097643,0.7440813362381989,0.20487364620938628,0.9733992019760593,0.3231316725978648,454,5123,1762,140
episode,train,20916,4218,0.20166379804934023,0.901893025748861,0.7402005445305452,3.67046813404478,0.4586081878705458,0.7298240581373111,0.9089615931721194,0.6845730027548209,0.4212723876497088,0.9674989420228524,0.5757188978151513,3834,11431,5267,384
episode,valid,3584,647,0.18052455357142858,0.8675440299878068,0.644489780386212,3.570094857657162,0.4586081878705458,0.69140625,0.8871715610510046,0.648280558392918,0.35718730553827005,0.9630753667172484,0.5093167701863354,574,1904,1033,73
episode,test,3429,662,0.19305920093321668,0.8755700820088287,0.6590832644037421,3.4138920145625855,0.4586081878705458,0.6975794692330125,0.8957703927492447,0.6501626310083123,0.37988468930172964,0.9630620985010707,0.5335132703553757,593,1799,968,69
episode,real,1268,241,0.19006309148264985,0.854347553806559,0.6067939893347412,3.192592441811003,0.4586081878705458,0.6979495268138801,0.8464730290456431,0.6630963972736125,0.3709090909090909,0.9484679665738162,0.515802781289507,204,681,346,37
