level,split,n,positives,prevalence,auroc,auprc,auprc_lift,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tp,tn,fp,fn
next_day,train,124966,11900,0.09522590144519309,0.9135037332995215,0.6340091217760895,6.657948227888302,0.42710733486546426,0.7821567466350847,0.8795798319327731,0.771903136221322,0.2886890807292385,0.9838460584608101,0.43470315841933677,10467,87276,25790,1433
next_day,valid,17438,1293,0.074148411515082,0.825236731026848,0.34405363110181075,4.640067454875001,0.42710733486546426,0.7419428833581833,0.7633410672853829,0.7402291731186126,0.1905037637521714,0.9750346740638003,0.3049119555143652,987,11951,4194,306
next_day,test,19405,1638,0.08441123421798506,0.8068502621747401,0.3278918456274074,3.8844574263735288,0.42710733486546426,0.7163102293223396,0.7466422466422467,0.7135138177520122,0.19372722952637414,0.9683012526733883,0.30763425984152937,1223,12677,5090,415
next_day,real,13607,1226,0.09010068347174248,0.801611175256303,0.40124378264027627,4.453282341261207,0.42710733486546426,0.7606379069596532,0.6916802610114192,0.7674662789758501,0.22752884357392003,0.9617408906882591,0.3424187361195235,848,9502,2879,378
episode,train,16528,3264,0.19748305905130686,0.9056590363640933,0.7563721475686509,3.8300609237177277,0.42710733486546426,0.7093417231364957,0.9246323529411765,0.6563630880579011,0.39836325237592396,0.9725201072386059,0.5568265682656827,3018,8706,4558,246
episode,valid,2695,449,0.1666048237476809,0.8567173118456568,0.5975286256214511,3.586502552449467,0.42710733486546426,0.661595547309833,0.8864142538975501,0.6166518254674977,0.3161239078633836,0.9644846796657381,0.46604215456674475,398,1385,861,51
episode,test,2950,559,0.18949152542372882,0.8601149660062444,0.624040802953669,3.2932385844603282,0.42710733486546426,0.6684745762711864,0.9051878354203936,0.6131325805102468,0.3535988819007687,0.9651086240947993,0.5085427135678392,506,1466,925,53
episode,real,1996,380,0.1903807615230461,0.8437955966649296,0.6211508833577298,3.2626767452158654,0.42710733486546426,0.6928857715430862,0.8368421052631579,0.6590346534653465,0.3659378596087457,0.9449866903283053,0.5092073658927142,318,1065,551,62
